Numer,Indeks Czesci,indeks rysunku,Ilosc,Opis,Masa,Materia³,Gruboœæ ,Dlugosc,Szerokoœæ,Giêcie,Plazma,Laser,Standardowa wypalka,Tokarka,Pi³a,Spawanie,Zakupowe,Pokrycie,dxf,Indeks materia³owy,Revision,Typ czesci
1,Z0001,,1,stelaz,1661.2,,,,,,,,,,,0,0,,,,A,
1.1,  Z0002,Z0000344,1,mocowanie,446.9,,,,,,,,,,,0,0,,,,A,
1.1.1,    00025952,1,1,blacha_1,91.6,600,6,4558,434,0,0,1,0,0,0,0,0,,52.dxf,S,A,1
1.1.2,    00025953,2,1,blacha_2,81.6,600,6,5746.52,506.04,0,0,1,0,0,0,0,0,,53.dxf,S,A,1
1.1.3,    00025950,3,1,profil,73.3,600,10,6259,150,1,0,1,0,0,0,0,0,,50.dxf,S,A,1
1.1.4,    00025951,4,1,profil 2,46.5,600,10,3964.8,150,1,0,1,0,0,0,0,0,,951.dxf,S,A,1
1.1.5,    00025948,5,1,detal,65,600,10,5553.67,150,0,0,1,0,0,0,0,0,,48.dxf,S,A,1
1.1.6,    00025954,5,2,detal_B,1.1,600,8,290,63,0,0,1,0,0,0,0,0,,54.dxf,A,A,1
1.1.7,    00025947,6,1,Zaœlepka,3.4,600,8,363,150,0,0,1,0,0,0,0,0,,947.dxf,A,A,1
1.1.8,    00025955,7,4,¯ebro,1.2,600,6,430,65,0,0,1,0,0,0,0,0,,55.dxf,Z,A,1
1.1.9,    00025946,8,1,Blacha koñcowa,1,600,8,150,100,0,0,1,0,0,0,0,0,,5946.dxf,Z1,A,1
1.1.10,    00025949,9,1,Pas ,55.7,600,10,4753.5551,150,1,0,0,0,0,0,0,0,,,,,
1.1.11,    00025956,10,2,¯ebro wysokie,0.5,600,6,182,63,0,0,1,0,0,0,0,0,,1002.dxf,Z,A,1
1.1.12,    00025959,,1,Uchwyt ,13.6,355,8,632,484,1,0,1,0,0,0,0,0,,100.dxf,,,1
1.1.13,    00026031,11,7,¯ebro ,1.3,600,6,442,65,0,0,1,0,0,0,0,0,,1002.dxf,Z,A,1
